@RELATION 2002-evlacorr
@ATTRIBUTE actualWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE predictedWordPOS {NOUN, VERB, ADJ, ADV, AUX, PRON, PROPN, PUNCT, X, SCONJ, ADP, CCONJ, INTJ, NUM, DET, SYM, SPACE, PART}
@ATTRIBUTE posTagsMatch {True, False}
@ATTRIBUTE numTimesPredicted numeric
@ATTRIBUTE numTimesInCorpus numeric
@ATTRIBUTE predictedTokenLength numeric
@ATTRIBUTE actualTokenLength numeric
@ATTRIBUTE ratioOfTokenLengths numeric
@ATTRIBUTE levDistance numeric
@ATTRIBUTE semanticSim numeric
@ATTRIBUTE tfidfAverageRank numeric
@ATTRIBUTE tfidfHighestRank numeric
@ATTRIBUTE predictedProba numeric
@ATTRIBUTE class {True, False}
@DATA
NOUN, NOUN, True, 8, 7, 9, 8, 1.125, 0.23529411764705888, 0.6153501868247986, 0.012536745360885941, 0.012536745360885941, 0.398025244474411, False
NOUN, NOUN, True, 4, 3, 7, 8, 0.875, 0.2666666666666667, 0.281936913728714, 0.023313012314773816, 0.023313012314773816, 0.11275467276573181, False
NOUN, NOUN, True, 7, 7, 7, 8, 0.875, 0.9333333333333333, 0.932660698890686, 0.015496996934963626, 0.015496996934963626, 0.10530398041009903, False
NOUN, NOUN, True, 7, 8, 14, 8, 1.75, 0.2727272727272727, 0.2952970564365387, 0.013490620304110298, 0.013490620304110298, 0.05761647969484329, False
NOUN, NOUN, True, 8, 8, 9, 8, 1.125, 0.3529411764705882, 0.4795333445072174, 0.018553205199630305, 0.018553205199630305, 0.047600846737623215, False
NOUN, NOUN, True, 6, 8, 6, 8, 0.75, 0.2857142857142857, 0.4513731896877289, 0.015405553544084311, 0.015405553544084311, 0.019123148173093796, False
NOUN, NOUN, True, 6, 8, 10, 8, 1.25, 0.2222222222222222, 0.5126455426216125, 0.014250337208801681, 0.014250337208801681, 0.016114704310894012, False
NOUN, NOUN, True, 7, 7, 8, 8, 1.0, 0.25, 0.6070367693901062, 0.010638671751754666, 0.010638671751754666, 0.013694710098206997, False
NOUN, NOUN, True, 7, 7, 4, 8, 0.5, 0.0, 0.3123764395713806, 0.013257377358931944, 0.013257377358931944, 0.013284625485539436, False
NOUN, NOUN, True, 1, 2, 8, 8, 1.0, 0.25, 0.43388769030570984, 0.02423390914850581, 0.02423390914850581, 0.012071473523974419, True
NOUN, NOUN, True, 3, 5, 11, 8, 1.375, 0.3157894736842105, 0.731094479560852, 0.02148929864855792, 0.02148929864855792, 0.011632805690169334, True
NOUN, NOUN, True, 9, 9, 8, 8, 1.0, 0.375, 0.5547235608100891, 0.01136664931848159, 0.01136664931848159, 0.010377362370491028, False
NOUN, NOUN, True, 9, 9, 9, 8, 1.125, 0.3529411764705882, 0.4165903925895691, 0.016566684428480992, 0.016566684428480992, 0.010328765027225018, False
NOUN, NOUN, True, 7, 7, 7, 8, 0.875, 0.2666666666666667, 0.6258914470672607, 0.011371778582247654, 0.011371778582247654, 0.009103896096348763, False
NOUN, NOUN, True, 1, 1, 11, 8, 1.375, 0.21052631578947367, 0.5183361172676086, 0.02871485434897343, 0.02871485434897343, 0.008974402211606503, False
NOUN, NOUN, True, 7, 5, 8, 9, 0.8888888888888888, 0.23529411764705888, 0.6230127811431885, 0.01648633994877652, 0.01648633994877652, 0.2134476751089096, False
NOUN, NOUN, True, 4, 3, 6, 9, 0.6666666666666666, 0.1333333333333333, 0.63670814037323, 0.019945970218486625, 0.019945970218486625, 0.08326016366481781, False
NOUN, NOUN, True, 3, 3, 10, 9, 1.1111111111111112, 0.21052631578947367, 0.49209994077682495, 0.024955857543689765, 0.024955857543689765, 0.06778499484062195, True
NOUN, NOUN, True, 0, 0, 6, 9, 0.6666666666666666, 0.4, 0.7282513380050659, 0.07166252285705418, 0.07166252285705418, 0.04179706424474716, True
NOUN, NOUN, True, 7, 6, 9, 9, 1.0, 0.4444444444444444, 0.5359921455383301, 0.015251635749683128, 0.015251635749683128, 0.028188543394207954, False
NOUN, NOUN, True, 5, 7, 8, 9, 0.8888888888888888, 0.3529411764705882, 0.5745827555656433, 0.015863978829744455, 0.015863978829744455, 0.024673277512192726, False
NOUN, NOUN, True, 2, 1, 6, 9, 0.6666666666666666, 0.1333333333333333, 0.7468206882476807, 0.025729659848595994, 0.025729659848595994, 0.024244628846645355, False
